Cycle:         59, | F: afc20010 | D: 2442ffff | E: 00000000 | M: 8fc20010 | W: 26100001 |

Cycle:         60, | F: 8fc20010 | D: afc20010 | E: 2442ffff | M: 00000000 | W: 8fc20010 |

Cycle:         61, | F: 00000000 | D: 8fc20010 | E: afc20010 | M: 2442ffff | W: 00000000 |

Cycle:         62, | F: 1440fff4 | D: 00000000 | E: 8fc20010 | M: afc20010 | W: 2442ffff |

Cycle:         63, | F: 00000000 | D: 1440fff4 | E: 00000000 | M: 8fc20010 | W: afc20010 |

Cycle:         64, | F: 00000000 | D: 1440fff4 | E: 00000000 | M: 00000000 | W: 8fc20010 |

Cycle:         65, | F: 8fc2000c | D: 00000000 | E: 1440fff4 | M: 00000000 | W: 00000000 |

Cycle:         66, | F: 00000000 | D: 8fc2000c | E: 00000000 | M: 1440fff4 | W: 00000000 |

Cycle:         67, | F: 304200ff | D: 00000000 | E: 8fc2000c | M: 00000000 | W: 1440fff4 |

Cycle:         68, | F: a2020000 | D: 304200ff | E: 00000000 | M: 8fc2000c | W: 00000000 |

Cycle:         69, | F: 26100001 | D: a2020000 | E: 304200ff | M: 00000000 | W: 8fc2000c |

Cycle:         70, | F: 8fc20010 | D: 26100001 | E: a2020000 | M: 304200ff | W: 00000000 |

Cycle:         71, | F: 00000000 | D: 8fc20010 | E: 26100001 | M: a2020000 | W: 304200ff |

Cycle:         72, | F: 2442ffff | D: 00000000 | E: 8fc20010 | M: 26100001 | W: a2020000 |

Cycle:         73, | F: afc20010 | D: 2442ffff | E: 00000000 | M: 8fc20010 | W: 26100001 |

Cycle:         74, | F: 8fc20010 | D: afc20010 | E: 2442ffff | M: 00000000 | W: 8fc20010 |

Cycle:         75, | F: 00000000 | D: 8fc20010 | E: afc20010 | M: 2442ffff | W: 00000000 |

Cycle:         76, | F: 1440fff4 | D: 00000000 | E: 8fc20010 | M: afc20010 | W: 2442ffff |

Cycle:         77, | F: 00000000 | D: 1440fff4 | E: 00000000 | M: 8fc20010 | W: afc20010 |

Cycle:         78, | F: 00000000 | D: 1440fff4 | E: 00000000 | M: 00000000 | W: 8fc20010 |

Cycle:         79, | F: 8fc2000c | D: 00000000 | E: 1440fff4 | M: 00000000 | W: 00000000 |

Cycle:         80, | F: 00000000 | D: 8fc2000c | E: 00000000 | M: 1440fff4 | W: 00000000 |

Cycle:         81, | F: 304200ff | D: 00000000 | E: 8fc2000c | M: 00000000 | W: 1440fff4 |

Cycle:         82, | F: a2020000 | D: 304200ff | E: 00000000 | M: 8fc2000c | W: 00000000 |

Cycle:         83, | F: 26100001 | D: a2020000 | E: 304200ff | M: 00000000 | W: 8fc2000c |

Cycle:         84, | F: 8fc20010 | D: 26100001 | E: a2020000 | M: 304200ff | W: 00000000 |

Cycle:         85, | F: 00000000 | D: 8fc20010 | E: 26100001 | M: a2020000 | W: 304200ff |

Cycle:         86, | F: 2442ffff | D: 00000000 | E: 8fc20010 | M: 26100001 | W: a2020000 |

Cycle:         87, | F: afc20010 | D: 2442ffff | E: 00000000 | M: 8fc20010 | W: 26100001 |

Cycle:         88, | F: 8fc20010 | D: afc20010 | E: 2442ffff | M: 00000000 | W: 8fc20010 |

Cycle:         89, | F: 00000000 | D: 8fc20010 | E: afc20010 | M: 2442ffff | W: 00000000 |

